,date,type,source,mean,std
5,2020-04-08,65,3,56.25,11.330770655006818
6,2020-04-08,65,9,71.5,2.0816659994661326
13,2020-04-09,65,3,55.73913043478261,9.323564433999517
14,2020-04-09,65,9,70.33333333333333,9.993331109628395
24,2020-04-10,65,3,58.333333333333336,10.038387857082967
25,2020-04-10,65,9,65.0,12.699319953159984
35,2020-04-11,65,3,55.96551724137931,8.252630570312066
36,2020-04-11,65,9,63.53333333333333,8.175456882529271
54,2020-04-12,65,2,64.00394963667706,7.586418984145694
55,2020-04-12,65,3,57.98758650728355,9.013022281363861
56,2020-04-12,65,6,61.12152835555978,9.080030299213421
57,2020-04-12,65,9,62.4375,8.492889182525971
76,2020-04-13,65,2,63.93525963149079,7.559583213940235
77,2020-04-13,65,3,57.442679261485615,9.020766194357332
78,2020-04-13,65,6,59.823662127286596,8.646625693286541
79,2020-04-13,65,9,62.705882352941174,6.47847113409438
98,2020-04-14,65,2,63.770157516378916,7.554453109931087
99,2020-04-14,65,3,56.650312024520936,8.698459449301653
100,2020-04-14,65,6,59.78477192180176,8.76299732149282
101,2020-04-14,65,9,62.23529411764706,6.437482153030658
122,2020-04-15,65,2,63.72141388274551,7.5823176823930005
123,2020-04-15,65,3,57.04741471329149,8.828970514740584
124,2020-04-15,65,6,60.35192547908479,8.879670304006462
125,2020-04-15,65,9,66.55555555555556,12.935233335271091
144,2020-04-16,65,2,63.91835759868547,7.607989317950411
145,2020-04-16,65,3,57.71158637873754,8.846072231935034
146,2020-04-16,65,6,61.1136119225401,9.06237648509055
147,2020-04-16,65,9,65.78947368421052,12.085707570737434
165,2020-04-17,65,2,64.08740960082,7.615447186648296
166,2020-04-17,65,3,57.946961484178445,8.892558413552795
167,2020-04-17,65,6,61.186845088547095,9.01539940061312
168,2020-04-17,65,9,66.44444444444444,13.439284917173508
186,2020-04-18,65,2,64.2654126283191,7.582464515815172
187,2020-04-18,65,3,58.318078877032626,8.950601155474315
188,2020-04-18,65,6,61.48443818257076,9.180684029936963
189,2020-04-18,65,9,62.82608695652174,7.049514321846083
208,2020-04-19,65,2,64.23924082404959,7.569766854398019
209,2020-04-19,65,3,57.922379317309634,9.055680348693942
210,2020-04-19,65,6,60.5702337725919,8.810018844739744
211,2020-04-19,65,9,63.285714285714285,6.573757351339165
230,2020-04-20,65,2,64.00686373917792,7.571795707995876
231,2020-04-20,65,3,56.9003496150193,8.717067195897386
232,2020-04-20,65,6,60.23762963191081,8.839990053842476
233,2020-04-20,65,9,65.7,12.810768496608008
252,2020-04-21,65,2,63.8752868106654,7.591215901516747
253,2020-04-21,65,3,57.031319012246534,8.70742051839576
254,2020-04-21,65,6,60.41937595293465,8.896129660750926
255,2020-04-21,65,9,62.75,5.227435983015166
274,2020-04-22,65,2,63.9796185734873,7.627180830149908
275,2020-04-22,65,3,57.44991378273249,8.839611987662131
