,date,type,source,mean,std
0,2020-04-08,9,3,5450.666666666667,3630.953977659148
1,2020-04-08,9,4,8727.4,6707.300858020311
7,2020-04-09,9,3,12392.478260869564,7159.00045632048
8,2020-04-09,9,4,7862.285714285715,7387.248759727483
9,2020-04-09,9,9,2421.75,3286.713594154501
15,2020-04-10,9,3,7370.0344827586205,5087.135199155096
16,2020-04-10,9,4,13672.888888888889,11302.42862668
17,2020-04-10,9,9,6651.833333333333,6093.573283933382
26,2020-04-11,9,3,8748.633333333333,5361.70118708048
27,2020-04-11,9,4,12945.0,10504.94520282
28,2020-04-11,9,9,7000.5,5047.353266812221
37,2020-04-12,9,2,8884.689064477929,5521.791910668669
38,2020-04-12,9,3,8566.054804153677,6335.642200853111
39,2020-04-12,9,4,11969.152673158185,8370.8394339988
40,2020-04-12,9,6,46.0,71.01408311032397
41,2020-04-12,9,9,6413.400559202529,5142.555978487083
42,2020-04-12,9,13,5096.689243027889,6853.645862389143
59,2020-04-13,9,2,7870.293730904591,5372.258394690285
60,2020-04-13,9,3,7931.173225241017,5882.162585520483
61,2020-04-13,9,4,10073.308577692518,7220.713785508296
62,2020-04-13,9,6,5752.335429431366,4938.219828972527
63,2020-04-13,9,9,5762.331508515815,4916.580188151003
64,2020-04-13,9,13,4969.98406374502,13022.008176
81,2020-04-14,9,2,8667.557352151285,5553.06709101231
82,2020-04-14,9,3,7654.923393897987,5091.107860716349
83,2020-04-14,9,4,9637.147870127521,6654.103709273911
84,2020-04-14,9,6,5630.486063482382,41254.09669349
85,2020-04-14,9,9,5806.341639581076,4367.583485749023
86,2020-04-14,9,13,4831.277108433735,4528.277025767619
103,2020-04-15,9,2,9221.184632882598,5347.594683600083
104,2020-04-15,9,3,8205.096308385151,5352.583451002562
105,2020-04-15,9,4,10780.565944272446,7223.745408530987
106,2020-04-15,9,6,-6541.871699434106,5187092.8961
107,2020-04-15,9,7,74.0,
108,2020-04-15,9,9,6227.838690188497,4523.81795429295
109,2020-04-15,9,13,4976.460905349794,4253.624853963814
127,2020-04-16,9,2,9370.616932685634,5358.51375534003
128,2020-04-16,9,3,8085.210758731433,5267.612329975119
129,2020-04-16,9,4,11262.304920060065,7538.782447724435
130,2020-04-16,9,6,-16152.181631257889,6964515.951
131,2020-04-16,9,9,6284.379062209842,4624.672436731825
132,2020-04-16,9,13,2378.8070175438597,2929.502396070858
149,2020-04-17,9,2,9603.318748895565,5422.962086018745
150,2020-04-17,9,3,8331.723757124762,5364.120648887798
151,2020-04-17,9,4,11631.372740038616,7736.873744343102
152,2020-04-17,9,6,6757.946107843818,5055.501685337893
153,2020-04-17,9,9,6331.768681189974,4599.895174640539
170,2020-04-18,9,2,9792.646093736188,7214.06014490888
171,2020-04-18,9,3,8781.683401193817,5961.780906138785
172,2020-04-18,9,4,12820.42618629174,8554.972161414253
173,2020-04-18,9,6,6983.5811181326335,5996.872732896021
174,2020-04-18,9,9,6704.857377819549,5040.613501964857
191,2020-04-19,9,2,8997.760002138542,5807.138934930306
192,2020-04-19,9,3,9010.481378554514,6789.935029909984
193,2020-04-19,9,4,12886.80670594351,8716.632973034995
194,2020-04-19,9,6,6539.273076031077,5754.304308402882
195,2020-04-19,9,9,6486.345304856222,5311.547632705306
196,2020-04-19,9,13,4787.81344628695,7849.837543694591
213,2020-04-20,9,2,9148.52811619654,5861.674405275643
214,2020-04-20,9,3,7727.036008753077,4927.264224688622
215,2020-04-20,9,4,10185.396343079234,6880.135161371929
216,2020-04-20,9,6,6417.667624366159,4758.315795728624
217,2020-04-20,9,9,6087.296345595353,4361.312384397458
218,2020-04-20,9,13,5113.851455097304,7373.984783180213
235,2020-04-21,9,2,9253.918713395928,5220.04379762103
236,2020-04-21,9,3,8174.580546227459,5159.981471469799
237,2020-04-21,9,4,10670.303955099535,7037.825938746142
238,2020-04-21,9,6,6528.735585361815,5561.594969898238
239,2020-04-21,9,9,6093.057551274083,4458.751161171629
240,2020-04-21,9,13,5118.829220314736,7381.679563168354
257,2020-04-22,9,2,9391.345955818404,5308.303436783171
258,2020-04-22,9,3,8251.121764774358,5175.469034344374
259,2020-04-22,9,4,11021.80610116461,7167.478148786667
260,2020-04-22,9,6,6668.8377110428,4896.087397528837
261,2020-04-22,9,9,6216.471209213052,4565.99072485599
262,2020-04-22,9,13,5140.061371841155,7329.131173272453
279,2020-04-23,9,2,9399.233582608696,5238.86991987658
280,2020-04-23,9,3,8163.7935422638875,5142.763556265145
281,2020-04-23,9,4,11266.544025157233,7479.050514333188
282,2020-04-23,9,6,6692.784385103694,5119.65561299778
283,2020-04-23,9,9,6015.219656081335,4414.151214527576
284,2020-04-23,9,13,2939.1431857389302,4724.041357210965
301,2020-04-24,9,2,9556.630114595682,5344.180601253611
302,2020-04-24,9,3,8216.7645988228,5207.350138987917
303,2020-04-24,9,4,11392.492509693338,7491.148194684856
304,2020-04-24,9,6,6724.987830366134,5051.934189548348
305,2020-04-24,9,9,6290.294391408114,4484.89003003881
322,2020-04-25,9,2,10063.412522071807,5852.606277249729
323,2020-04-25,9,3,9051.358893557423,6089.853510039085
324,2020-04-25,9,4,13066.548877496907,8634.232713015956
325,2020-04-25,9,6,7217.479239118979,20783.64840364
326,2020-04-25,9,9,6893.6338183151975,5129.7028449141
345,2020-04-26,9,2,9320.485793512858,8626.781694306674
346,2020-04-26,9,3,9234.772412735532,7081.739462524406
347,2020-04-26,9,4,13573.43565626336,9322.185424176045
348,2020-04-26,9,6,6562.282629892093,5675.157696605643
349,2020-04-26,9,9,6642.120450925132,5427.252714385836
368,2020-04-27,9,2,9480.056200710633,5299.150098341609
369,2020-04-27,9,3,7933.596555705215,5055.015278614705
370,2020-04-27,9,4,11010.454323995127,7222.770781848256
371,2020-04-27,9,6,6467.331018153118,5322.881557766682
372,2020-04-27,9,9,6206.232828159375,4462.480163218842
391,2020-04-28,9,2,8690.092619759635,5021.519657669742
392,2020-04-28,9,3,7636.2644607321745,4970.64243457858
393,2020-04-28,9,4,10176.79729492359,6526.20514301723
394,2020-04-28,9,6,5889.2276263958065,6260.928540369056
395,2020-04-28,9,9,5655.564085144928,4269.424820008797
414,2020-04-29,9,2,8643.512275691206,5034.756690963418
415,2020-04-29,9,3,7751.396567020251,4976.252094953631
416,2020-04-29,9,4,10476.323459611496,6416.420526607311
417,2020-04-29,9,6,6018.944090281362,8791.519594994064
418,2020-04-29,9,9,5781.898402990146,4258.240260188178
437,2020-04-30,9,2,8544.551121292501,4947.86375006929
438,2020-04-30,9,3,7553.513797660228,4894.777330438571
439,2020-04-30,9,4,10296.447763864044,6275.162554292011
440,2020-04-30,9,6,5981.32869549021,5695.651911636876
441,2020-04-30,9,9,5667.7472241105825,4174.514724945683
460,2020-05-01,9,2,8186.1710597470565,5643.773645415796
461,2020-05-01,9,3,8252.493797682138,6129.576464122821
462,2020-05-01,9,4,11279.0965596737,7409.347978488649
463,2020-05-01,9,6,5702.95103098846,5351.936469495844
464,2020-05-01,9,9,5893.857257234359,4970.885361140935
483,2020-05-02,9,2,8841.415330949681,5399.436099905603
484,2020-05-02,9,3,8256.49751466833,5601.099189827582
485,2020-05-02,9,4,11707.10689283791,7156.91005138957
486,2020-05-02,9,6,6320.842458835412,6637.488198182261
487,2020-05-02,9,9,6062.116276426461,4554.106887053923
506,2020-05-03,9,2,9147.508665269042,5997.973119597818
507,2020-05-03,9,3,9496.924960566306,7145.941421906175
508,2020-05-03,9,4,14171.702906071614,8758.531364160992
